COVID-19 Vaccinations in the United States
Date generated: Fri May 14 2021 15:13:34 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Texas,28232055,97366,130728,20671478,71291,20336948,94170,11663719,40.2,11449107,53,9058956,31.2,9057145,37.6,8909186,41.3,14856855,11627200,1748000,0,722998,9004679,10943004,797,3769835,4580976,707502,643,3707509,4505240,695805,632,8353509,40.2,11449107,53,28.8,8241572,38.2,11663719,2919429,78.2,2473095,66.2,1029165,1250606,193148,176,5510102,147557,756034,11660220,48.4,9057145,37.6,3769081,4580060,707361,643,20667407,85753,117140
Utah,2893160,90243,127185,2367479,73846,2313200,101689,1347636,42,1312064,57.7,916716,28.6,916648,35.4,898741,39.5,1483560,1250600,159000,0,97306,1021266,1248907,0,361522,461239,93954,1,361373,443518,93849,1,822762,42,1312064,57.7,25.7,804892,35.4,1347636,311345,85.1,211594,57.8,92734,107431,11429,0,583414,159458,790757,1347382,52,916648,35.4,361507,461212,93928,1,2367161,91317,111608
Virginia,9021665,105696,135163,7451290,87297,7318753,109650,4311838,50.5,4220878,63.2,3325691,39,3325288,45.5,3283496,49.2,4909905,3617160,494600,0,254734,3055650,4138939,1967,1311915,1760869,252288,619,1309824,1721639,251416,617,3073403,50.5,4220878,63.2,36,3032080,45.4,4311838,1159207,85.3,1012688,74.5,486238,473347,52712,391,2133362,156991,663892,4310457,59,3325288,45.5,1311789,1760736,252144,619,7449844,101955,123467
Veterans Health,6239605,N/A,N/A,5104480,N/A,5103693,N/A,2727727,N/A,2727199,N/A,2501508,N/A,2501449,0,2501231,N/A,2733705,2985500,520400,0,127926,2661348,2315204,2,1263216,1110504,127787,1,1263185,1110278,127767,1,2373721,N/A,2727199,N/A,0,2373464,0,2727727,1448060,0,1366274,0,761721,560097,44455,1,2770914,0,0,2727645,0,2501449,0,1263198,1110468,127782,1,5104344,0,0
Virgin Islands,68820,65743,84287,66703,63721,65965,80790,35448,33.9,35039,42.9,28909,27.6,28897,32.3,28631,35.1,46020,21900,900,0,434,21561,44708,0,9517,18943,448,1,9505,18679,446,1,28461,33.9,35039,42.9,27.2,28185,34.5,35448,11672,65.6,9993,56.2,4103,5699,190,1,21602,121387,386716,35414,39.6,28897,32.3,9512,18937,447,1,66658,74566,76984
Vermont,792320,126977,155362,655013,104972,646820,126831,394534,63.2,387687,76,279619,44.8,279608,50.8,278256,54.6,397800,345620,48900,0,31779,285463,337227,544,110607,137958,30867,187,110588,136635,30846,187,248752,63.2,387687,76,39.9,247410,48.5,394534,121194,96.9,108996,87.2,53500,54289,1085,122,235102,188023,633658,394512,71.6,279608,50.8,110603,137958,30860,187,655005,118886,143810
Washington,8143740,106945,136827,6603947,86724,6515412,109469,3864410,50.7,3801534,63.9,2921812,38.4,2921735,44.9,2896710,48.7,4282200,3414440,447100,0,239583,2790298,3570088,3978,1173645,1508926,238180,1061,1173400,1484202,238049,1059,2683632,50.7,3801534,63.9,35.2,2658661,44.7,3864410,1050769,86.9,960428,79.4,441863,476314,41574,677,1989803,164484,673190,3863974,59.4,2921735,44.9,1173628,1508877,238169,1061,6603457,101577,125270
Wisconsin,5620435,96531,123368,5052032,86768,4976874,109242,2771820,47.6,2726840,59.9,2351070,40.4,2351041,47,2323470,51,2886975,2435960,297500,0,187722,2159195,2704606,509,950333,1219482,181026,229,950158,1192162,180926,224,2170044,47.6,2726840,59.9,37.3,2142544,47,2771820,890735,87.6,839159,82.5,410134,410170,18762,93,1755592,172583,552516,2771598,55.4,2351041,47,950323,1219472,181017,229,5051796,101040,112413
West Virginia,1720265,95989,120082,1234813,68901,1201934,83900,670529,37.4,646662,45.1,580790,32.4,578314,37.1,571465,39.9,827385,788880,104000,0,23101,593615,618061,36,271326,285348,24024,92,271064,278084,22230,87,556766,37.4,646662,45.1,31.1,549235,38.3,670529,261778,71.3,239594,65.3,123931,111993,3620,50,497833,135645,468723,656214,42.1,578314,37.1,271140,284838,22249,87,1218730,78232,110427
Wyoming,491795,84974,110510,374754,64751,371521,83483,202831,35,200898,45.1,173312,29.9,173311,35.3,172121,38.7,220935,238760,32100,0,12322,182629,179595,208,79862,81748,11661,41,79852,80571,11657,41,161651,35,200898,45.1,27.9,160464,36.1,202831,73503,74.1,67548,68.1,35102,30497,1931,18,139228,140381,495866,202818,41.3,173311,35.3,79862,81748,11660,41,374741,76365,100219
